idedificio,idpiso
12,1
4,2
17,3
8,4
9,5
16,6
1,7
2,8
12,9
17,10
13,11
7,12
3,13
19,14
2,15
13,16
12,17
18,18
20,19
14,20
7,21
6,22
11,23
16,24
16,25
7,26
16,27
18,28
12,29
18,30
7,31
17,32
1,33
11,34
6,35
14,36
20,37
5,38
17,39
15,40
6,41
16,42
15,43
8,44
1,45
6,46
8,47
12,48
19,49
8,50
3,51
20,52
7,53
17,54
3,55
3,56
6,57
13,58
2,59
10,60
17,61
8,62
19,63
2,64
20,65
2,66
7,67
19,68
15,69
8,70
3,71
5,72
8,73
6,74
6,75
17,76
9,77
9,78
6,79
3,80
18,81
19,82
3,83
12,84
2,85
19,86
11,87
1,88
19,89
20,90
13,91
19,92
7,93
19,94
6,95
12,96
10,97
4,98
13,99
19,100
3,101
9,102
1,103
4,104
5,105
1,106
9,107
9,108
14,109
8,110
3,111
8,112
6,113
7,114
4,115
6,116
14,117
6,118
11,119
1,120
4,121
14,122
9,123
9,124
9,125
11,126
14,127
10,128
4,129
18,130
9,131
10,132
14,133
10,134
19,135
18,136
18,137
4,138
12,139
13,140
19,141
11,142
12,143
7,144
2,145
14,146
1,147
19,148
12,149
9,150
17,151
16,152
18,153
9,154
9,155
3,156
14,157
19,158
6,159
14,160
2,161
18,162
7,163
18,164
6,165
18,166
13,167
3,168
9,169
17,170
9,171
9,172
18,173
1,174
5,175
16,176
19,177
6,178
1,179
2,180
